数量,酒店名,星级,档次,评分,价格,链接
166,时光漫步怀旧主题酒店(北京天安门广场店)(原前门店),03,舒适型,4.8,2987元,http://hotels.ctrip.com/hotel/5380989.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
167,北京世纪星豪酒店,03,舒适型,4.1,316元,http://hotels.ctrip.com/hotel/451176.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
168,和颐酒店(北京东直门簋街店),04,高档型,4.5,469元,http://hotels.ctrip.com/hotel/1732956.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
169,北京红驿栈酒店,03,舒适型,4.8,300元,http://hotels.ctrip.com/hotel/1013461.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
170,北京龙城温德姆酒店(原龙城丽宫国际酒店),05,国家旅游局评定为五星级,4.6,788元,http://hotels.ctrip.com/hotel/895549.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
171,北京瑜舍,05,豪华型,4.6,2026元,http://hotels.ctrip.com/hotel/429206.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
172,北京中奥华美达大酒店,04,高档型,4.4,539元,http://hotels.ctrip.com/hotel/482952.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
173,北京世贸天阶酒店式公寓,03,舒适型,4.5,598元,http://hotels.ctrip.com/hotel/1544356.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
174,北京蔓兰酒店,05,豪华型,4.7,880元,http://hotels.ctrip.com/hotel/535068.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
175,时光漫步怀旧主题酒店(北京雍和宫店),03,舒适型,4.7,436元,http://hotels.ctrip.com/hotel/1181544.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
176,北京益泉花园酒店,03,舒适型,4.4,539元,http://hotels.ctrip.com/hotel/436072.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
177,北京悦居·中国(原宏悦商务酒店(北京望京SOHO店)),02,经济型,4.8,498元,http://hotels.ctrip.com/hotel/1700971.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
178,北京长安街天府尊雅酒店(原长安街W酒店),05,豪华型,4.7,1488元,http://hotels.ctrip.com/hotel/1286148.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
179,北京商务会馆,04,国家旅游局评定为四星级,4.5,478元,http://hotels.ctrip.com/hotel/825971.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
180,北京翠明庄宾馆,04,国家旅游局评定为四星级,4.6,650元,http://hotels.ctrip.com/hotel/427321.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
181,飘HOME连锁酒店(北京西客站店),02,经济型,4.4,244元,http://hotels.ctrip.com/hotel/447443.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
182,北京星河湾酒店,05,豪华型,4.6,1006元,http://hotels.ctrip.com/hotel/426782.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
183,7天连锁酒店(北京首都机场店),02,经济型,4.3,252元,http://hotels.ctrip.com/hotel/2285017.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
184,秋果酒店(北京三元桥燕莎店),04,高档型,4.9,570元,http://hotels.ctrip.com/hotel/14280197.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
185,全季酒店(北京石景山万达西店)(原八角游乐园店),03,舒适型,4.7,393元,http://hotels.ctrip.com/hotel/7426874.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
186,北京和园景逸大酒店,05,豪华型,4.6,591元,http://hotels.ctrip.com/hotel/533005.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
187,北京中乐六星酒店,05,豪华型,4.8,714元,http://hotels.ctrip.com/hotel/984991.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
188,北京紫金宫饭店,03,舒适型,4.5,379元,http://hotels.ctrip.com/hotel/5418724.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
189,锦江之星(北京前门店),02,经济型,4.3,319元,http://hotels.ctrip.com/hotel/835909.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
190,北京元辰鑫国际酒店,04,国家旅游局评定为四星级,4.5,688元,http://hotels.ctrip.com/hotel/457172.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
191,北京丽亭酒店,04,国家旅游局评定为四星级,4.7,1458元,http://hotels.ctrip.com/hotel/425031.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
192,时光漫步怀旧主题酒店(北京国家体育总局天坛店),03,舒适型,4.7,459元,http://hotels.ctrip.com/hotel/1881966.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
193,雅悦精致酒店(北京官园桥金融街店),02,经济型,4.8,677元,http://hotels.ctrip.com/hotel/16081014.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
194,骊品庭院酒店(北京南锣鼓巷店),03,舒适型,4.8,688元,http://hotels.ctrip.com/hotel/6374553.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
195,麗枫酒店(北京中关村人民大学地铁站店),04,高档型,4.7,605元,http://hotels.ctrip.com/hotel/5374007.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
196,汉庭酒店(北京花乡天坛医院新店)(原花乡桥东店),02,经济型,4.4,246元,http://hotels.ctrip.com/hotel/10172791.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
197,北京南宫温泉度假酒店,05,国家旅游局评定为五星级,4.1,566元,http://hotels.ctrip.com/hotel/436059.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
198,角楼国际青年旅舍(北京天安门店),02,经济型,4.6,82元,http://hotels.ctrip.com/hotel/8549066.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
199,北京青蓝大厦,03,国家旅游局评定为三星级,4.0,326元,http://hotels.ctrip.com/hotel/1379712.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
200,北京欣得精品设计酒店,03,舒适型,4.6,498元,http://hotels.ctrip.com/hotel/1604197.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
201,速8酒店(北京方庄地铁站店)(原方庄银马店),02,经济型,4.1,278元,http://hotels.ctrip.com/hotel/632424.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
202,北京临空新国展亚朵酒店,04,高档型,4.7,551元,http://hotels.ctrip.com/hotel/30006625.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
203,北京福永御龙国际酒店,04,高档型,4.2,463元,http://hotels.ctrip.com/hotel/845507.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
204,北京A+麒寓酒店,02,经济型,4.5,161元,http://hotels.ctrip.com/hotel/14010040.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
205,北京东方美高美国际酒店,05,豪华型,4.7,626元,http://hotels.ctrip.com/hotel/1171744.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
206,7天连锁酒店(北京蓟门桥店),02,经济型,4.3,379元,http://hotels.ctrip.com/hotel/2300973.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
207,北京四季天成酒店,03,舒适型,4.3,569元,http://hotels.ctrip.com/hotel/760206.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
208,IU酒店(北京西客站六里桥东地铁站店),02,经济型,4.5,347元,http://hotels.ctrip.com/hotel/1925380.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
209,三十七度水镇度假别墅（北京古北长城源著店）,03,舒适型,4.7,279元,http://hotels.ctrip.com/hotel/6929311.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
210,贯通现代酒店(北京国展店),03,舒适型,4.5,238元,http://hotels.ctrip.com/hotel/697540.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
211,北京瑞洁宾舍酒店,03,舒适型,4.5,529元,http://hotels.ctrip.com/hotel/1501613.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
212,北京橡树公馆,04,高档型,4.6,1396元,http://hotels.ctrip.com/hotel/534173.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
213,7天连锁酒店(北京西客站南广场店),02,经济型,4.3,399元,http://hotels.ctrip.com/hotel/1737645.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
214,城市客栈(北京欢乐谷店),02,经济型,4.6,324元,http://hotels.ctrip.com/hotel/651591.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
215,飘HOME连锁酒店(北京华贸一店)(原雅悦酒店红庙店),02,经济型,4.4,888元,http://hotels.ctrip.com/hotel/473629.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
216,北京亚美国际酒店,04,高档型,4.1,208元,http://hotels.ctrip.com/hotel/1781207.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
217,北京空港远航国际酒店,04,高档型,4.4,412元,http://hotels.ctrip.com/hotel/456444.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
218,智尚酒店(北京中关村店),02,经济型,4.5,349元,http://hotels.ctrip.com/hotel/19479904.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
219,山水时尚酒店(北京怀柔店),04,高档型,4.6,396元,http://hotels.ctrip.com/hotel/859259.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
220,北京古韵坊怡景酒店,03,舒适型,4.3,429元,http://hotels.ctrip.com/hotel/374779.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
221,北京汇园酒店公寓(贵宾楼),05,豪华型,4.6,689元,http://hotels.ctrip.com/hotel/1216806.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
222,北京龙城华美达酒店,04,高档型,4.6,708元,http://hotels.ctrip.com/hotel/846998.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
223,北京宣武门商务酒店,03,国家旅游局评定为三星级,4.5,2880元,http://hotels.ctrip.com/hotel/431407.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
224,北京蓝地时尚庄园,04,高档型,4.5,299元,http://hotels.ctrip.com/hotel/917721.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
225,北京中国石化会议中心,04,高档型,4.7,399元,http://hotels.ctrip.com/hotel/1602274.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
226,北京上园饭店,03,国家旅游局评定为三星级,4.2,393元,http://hotels.ctrip.com/hotel/1701265.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
227,北京遇丶酒店,03,舒适型,4.8,509元,http://hotels.ctrip.com/hotel/29851826.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
228,东方圣达文化酒店(北京南锣鼓巷后海店),03,舒适型,4.7,394元,http://hotels.ctrip.com/hotel/2612318.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
229,桔子酒店·精选(北京上地环岛店)(原龙泉湖酒店),03,舒适型,4.8,579元,http://hotels.ctrip.com/hotel/2298654.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
230,北京乐盟酒店,02,经济型,4.5,376元,http://hotels.ctrip.com/hotel/456473.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
231,北京北岸公寓,02,经济型,4.6,588元,http://hotels.ctrip.com/hotel/25769416.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
232,北京七天京颐酒店,02,经济型,4.2,289元,http://hotels.ctrip.com/hotel/1737540.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
233,北京国宾大厦,03,舒适型,4.2,337元,http://hotels.ctrip.com/hotel/1860548.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
234,宾安思·丽都公寓(北京望京酒仙桥798丽都店),04,高档型,4.7,631元,http://hotels.ctrip.com/hotel/5999483.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
235,G+公寓(北京金茂府店),03,舒适型,4.3,456元,http://hotels.ctrip.com/hotel/1121666.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
236,Q加·北京乐酷花园主题酒店,02,经济型,4.7,228元,http://hotels.ctrip.com/hotel/6072001.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
237,北京未名视界摄影主题酒店,02,经济型,4.7,367元,http://hotels.ctrip.com/hotel/753975.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
238,北京可丽亚宾馆,03,舒适型,4.1,288元,http://hotels.ctrip.com/hotel/698732.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
239,如家精选酒店(北京芍药居文学馆路地铁站店),03,舒适型,4.8,474元,http://hotels.ctrip.com/hotel/8898272.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
240,北京前门皇家驿栈,05,豪华型,4.4,702元,http://hotels.ctrip.com/hotel/848787.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
241,北京玛雅岛酒店,04,高档型,4.6,729元,http://hotels.ctrip.com/hotel/469749.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
242,北京首都机场丽豪商务酒店,03,舒适型,4.1,238元,http://hotels.ctrip.com/hotel/1015572.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
243,7天连锁酒店(北京三元桥地铁站国展中心店),02,经济型,4.2,263元,http://hotels.ctrip.com/hotel/2301529.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
244,北京子美酒店,04,高档型,4.9,289元,http://hotels.ctrip.com/hotel/19635743.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
245,京成商务酒店(北京十里河地铁站店),02,经济型,4.6,303元,http://hotels.ctrip.com/hotel/2291200.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
246,速8酒店(北京北沙滩店),02,经济型,4.7,336元,http://hotels.ctrip.com/hotel/9730146.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
247,北京正义路华纺商务酒店(北京正义路酒店),03,舒适型,4.4,398元,http://hotels.ctrip.com/hotel/763859.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
248,斑斓·家公寓(北京望京博雅店),02,经济型,4.9,582元,http://hotels.ctrip.com/hotel/10157700.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
249,和颐酒店(北京前门店),04,高档型,4.6,721元,http://hotels.ctrip.com/hotel/3183961.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
250,7天连锁酒店(北京北沙滩地铁站店),02,经济型,4.5,305元,http://hotels.ctrip.com/hotel/2043297.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
251,邸曼公寓(北京金茂府店),03,舒适型,4.8,503元,http://hotels.ctrip.com/hotel/1959560.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
252,麗枫酒店(北京马驹桥店),03,舒适型,4.8,423元,http://hotels.ctrip.com/hotel/14284387.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
253,北京新世界家美酒店式公寓,02,经济型,4.7,579元,http://hotels.ctrip.com/hotel/4033968.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
254,北京金宝花园酒店,04,高档型,4.4,366元,http://hotels.ctrip.com/hotel/513299.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
255,欢墅·度假别墅(北京古北长城源著店),05,豪华型,4.8,390元,http://hotels.ctrip.com/hotel/6057426.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
256,北京优客里里酒店公寓通州新光大中心店,02,经济型,4.7,281元,http://hotels.ctrip.com/hotel/10128319.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
257,北京国都大饭店,04,国家旅游局评定为四星级,4.3,648元,http://hotels.ctrip.com/hotel/429500.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
258,北京蔻思酒店,03,舒适型,4.5,354元,http://hotels.ctrip.com/hotel/4723906.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
259,北京北纬四十度大酒店,04,高档型,4.4,523元,http://hotels.ctrip.com/hotel/457186.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
260,北京觅舍酒店,04,高档型,4.7,680元,http://hotels.ctrip.com/hotel/19054886.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
261,雅诗国际酒店式公寓,02,经济型,4.6,408元,http://hotels.ctrip.com/hotel/17287268.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
262,北京和平里大酒店,03,国家旅游局评定为三星级,4.4,657元,http://hotels.ctrip.com/hotel/736642.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
263,龙珠堂精品四合院酒店(北京天安门店),04,高档型,4.6,429元,http://hotels.ctrip.com/hotel/1597521.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
264,北京锦江富园大酒店,05,豪华型,4.5,738元,http://hotels.ctrip.com/hotel/454991.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
265,影宿电影主题酒店(北京通州万达广场店),02,经济型,4.6,254元,http://hotels.ctrip.com/hotel/3689252.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
266,北京半岛·燕山会议中心,03,舒适型,4.6,519元,http://hotels.ctrip.com/hotel/5345694.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
267,OneDay高级酒店公寓(北京新国展店),03,舒适型,4.9,517元,http://hotels.ctrip.com/hotel/17265798.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
268,XY酒店公寓(北京东直门簋街店),03,舒适型,4.6,399元,http://hotels.ctrip.com/hotel/5656624.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
269,北京好特热温泉酒店,04,国家旅游局评定为四星级,4.2,433元,http://hotels.ctrip.com/hotel/701666.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
270,北京前门国帅宾馆,,经济型,4.1,320元,http://hotels.ctrip.com/hotel/5249862.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
271,全季酒店(北京通州运河西路店),03,舒适型,4.8,417元,http://hotels.ctrip.com/hotel/1467104.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
272,北京凯乐快捷宾馆,02,经济型,4.2,289元,http://hotels.ctrip.com/hotel/1282017.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
273,北京康铭大厦,03,舒适型,4.4,349元,http://hotels.ctrip.com/hotel/772854.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
274,北京喜马拉雅宾馆,02,经济型,4.5,339元,http://hotels.ctrip.com/hotel/907367.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
275,北京阅微庄四合院宾馆,04,高档型,4.7,720元,http://hotels.ctrip.com/hotel/436905.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
276,7天连锁酒店(北京前门店),02,经济型,4.0,285元,http://hotels.ctrip.com/hotel/1254138.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
277,北京新族酒店,03,舒适型,4.2,389元,http://hotels.ctrip.com/hotel/810470.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
278,北京古韵坊木艺主题酒店,04,高档型,4.4,459元,http://hotels.ctrip.com/hotel/772176.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
279,北京钓鱼台大酒店,05,豪华型,4.6,1019元,http://hotels.ctrip.com/hotel/918302.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
280,7天连锁酒店(北京奥林匹克公园宝盛里店),02,经济型,4.5,212元,http://hotels.ctrip.com/hotel/1737527.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
281,北京云水遥山居温泉度假山庄,04,高档型,4.7,636元,http://hotels.ctrip.com/hotel/12825996.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
282,北京可心精品度假别墅,04,高档型,4.7,219元,http://hotels.ctrip.com/hotel/8025058.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
283,7天连锁酒店(北京农大南路店),02,经济型,4.5,484元,http://hotels.ctrip.com/hotel/1737538.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
284,斑斓家公寓(北京望京SOHO店),,经济型,4.8,495元,http://hotels.ctrip.com/hotel/7078393.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
285,北京米佳丽呈酒店,04,高档型,4.5,406元,http://hotels.ctrip.com/hotel/18446786.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
286,北京青竹宾馆,03,舒适型,4.5,440元,http://hotels.ctrip.com/hotel/2299205.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
287,和颐酒店(北京颐和园店),04,高档型,4.6,541元,http://hotels.ctrip.com/hotel/821145.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
288,北京名品臻享酒店,02,经济型,4.6,378元,http://hotels.ctrip.com/hotel/18550920.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
289,7天连锁酒店(北京海淀上庄店),02,经济型,4.1,314元,http://hotels.ctrip.com/hotel/4964555.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
290,7天连锁酒店(北京亦庄万源街地铁站店),02,经济型,4.4,262元,http://hotels.ctrip.com/hotel/1737562.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
291,北京映向胡同酒店,02,经济型,4.7,458元,http://hotels.ctrip.com/hotel/7008186.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
292,北京赢家商务酒店,03,舒适型,4.2,328元,http://hotels.ctrip.com/hotel/2298536.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
293,北京佰禾精品商务酒店,04,高档型,4.4,246元,http://hotels.ctrip.com/hotel/13801907.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
294,北京荣府老宅四合院酒店,03,舒适型,4.7,599元,http://hotels.ctrip.com/hotel/4852623.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
295,北京百纳烟台山商务酒店,04,高档型,4.8,869元,http://hotels.ctrip.com/hotel/1098783.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
296,北京嘉恒同心酒店,02,经济型,4.7,339元,http://hotels.ctrip.com/hotel/5309178.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
297,城家精选公寓(北京望京店)(原城家望京北欧公寓),,经济型,4.6,446元,http://hotels.ctrip.com/hotel/8435930.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
298,水镇美乐家度假别墅(北京古北长城源著店)(原古北口店),02,经济型,4.8,232元,http://hotels.ctrip.com/hotel/6064267.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
299,7天连锁酒店(北京西客站丽泽桥店),02,经济型,4.2,232元,http://hotels.ctrip.com/hotel/1737667.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
300,北京德胜饭店,03,国家旅游局评定为三星级,4.3,369元,http://hotels.ctrip.com/hotel/457552.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
301,北京古北云筑家庭亲子主题别墅,02,经济型,4.9,1088元,http://hotels.ctrip.com/hotel/12223549.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
302,希岸酒店(北京北苑店),03,舒适型,4.6,399元,http://hotels.ctrip.com/hotel/760201.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
303,7天连锁酒店(北京石景山古城地铁站店),02,经济型,4.5,242元,http://hotels.ctrip.com/hotel/1737623.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
304,7天优品酒店(北京新世界百货店),,经济型,4.5,262元,http://hotels.ctrip.com/hotel/5384303.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
305,天天如家自助服务式公寓(北京健翔桥店),02,经济型,4.6,319元,http://hotels.ctrip.com/hotel/1578403.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
306,北京蓝帕国际酒店,04,高档型,4.5,269元,http://hotels.ctrip.com/hotel/6517135.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
307,北京来不轻旅酒店,02,经济型,4.7,100元,http://hotels.ctrip.com/hotel/23223115.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
308,7天连锁酒店(北京动物园店),02,经济型,4.3,309元,http://hotels.ctrip.com/hotel/2042243.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
309,IU酒店(北京黄寺大街店),02,经济型,4.4,358元,http://hotels.ctrip.com/hotel/8898888.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
310,瑞英阁服务式公寓(上东8号店),02,经济型,4.4,384元,http://hotels.ctrip.com/hotel/1518271.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
311,希岸·轻雅酒店(北京顺义地铁站店),04,高档型,4.5,338元,http://hotels.ctrip.com/hotel/1389783.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
312,格林豪泰(北京首都机场T3馨港店),02,经济型,4.4,237元,http://hotels.ctrip.com/hotel/6026088.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
313,北京河北迎宾馆,03,舒适型,4.2,466元,http://hotels.ctrip.com/hotel/1497663.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
314,北京星汉传媒机场快捷酒店,02,经济型,4.5,282元,http://hotels.ctrip.com/hotel/11160216.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
315,北京厚道酒店,02,经济型,4.1,358元,http://hotels.ctrip.com/hotel/1115615.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_15
316,拜登别院·北京古北口店,03,舒适型,4.5,206元,http://hotels.ctrip.com/hotel/5558158.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_16
317,北京银龙苑宾馆,03,国家旅游局评定为三星级,4.4,754元,http://hotels.ctrip.com/hotel/2298345.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_17
318,北京桂京商务酒店(原桂京宾馆国贸店),02,经济型,4.6,1298元,http://hotels.ctrip.com/hotel/1775715.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_18
319,7天连锁酒店(北京鸟巢体育场店),02,经济型,4.3,316元,http://hotels.ctrip.com/hotel/2043813.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_19
320,北京雷龙商务主题酒店,02,经济型,4.3,346元,http://hotels.ctrip.com/hotel/1413347.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_20
321,北京京林大厦,04,国家旅游局评定为四星级,4.4,723元,http://hotels.ctrip.com/hotel/443570.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_21
322,北京和敬府宾馆,04,高档型,4.6,612元,http://hotels.ctrip.com/hotel/847369.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_22
323,北京斯维登度假公寓(雍和宫红云阁),04,高档型,4.5,400元,http://hotels.ctrip.com/hotel/1743526.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_23
324,三只熊轻奢度假别墅(北京古北龙湖源著店),03,舒适型,4.6,408元,http://hotels.ctrip.com/hotel/6492450.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_24
325,北京铂郡公寓,03,舒适型,4.1,419元,http://hotels.ctrip.com/hotel/1009315.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_25
326,斑斓·家公寓(北京三里屯使馆区店),,经济型,4.8,439元,http://hotels.ctrip.com/hotel/7332741.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
327,北京国门戴斯国际酒店,04,高档型,4.4,388元,http://hotels.ctrip.com/hotel/27862381.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
328,花筑·南锣鼓巷贰拾号酒店(原古巷贰拾号艺术酒店),04,高档型,4.5,455元,http://hotels.ctrip.com/hotel/473871.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
329,北京共享际国贸酒店式公寓,03,舒适型,4.5,643元,http://hotels.ctrip.com/hotel/13985703.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
330,北京国润商务酒店,03,国家旅游局评定为三星级,4.1,376元,http://hotels.ctrip.com/hotel/1517157.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
331,北京瑞斯山海酒店,02,经济型,4.2,441元,http://hotels.ctrip.com/hotel/1732908.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
